"Name","Runtime","Notes","Tags","accumulation_steps","batch_size","epochs","learning_rate","margin","max_samples","projection_dim","avg_train_loss","batch","batch_loss","epoch","gpu_memory_allocated","gpu_memory_reserved","total_parameters","val_ndcg_10"
"royal-sweep-8","204","-","","2","256","8","0.0001","0.3","50000","256","0.0065839860139281624","191","0.004292319528758526","8","0.204743168","8.912896","45755136","0.9999999999999998"
"daily-sweep-5","207","-","","2","128","8","0.0001","0.3","50000","256","0.0050808450485796425","391","0.00547616695985198","8","0.204472832","1.6777216","45755136","0.991306894355054"
"dark-sweep-10","406","-","","2","256","8","0.001","0.3","100000","256","0.003288427939462235","391","0.003249193076044321","8","0.204595712","10.133438464","45755136","0.9637206851216602"
"likely-sweep-9","419","-","","2","512","8","0.001","0.1","100000","256","0.0005946612095891507","191","0.0004610223404597491","8","0.205136384","10.133438464","45755136","0.9606868418703084"
"deft-sweep-6","212","-","","2","512","8","0.0001","0.5","50000","256","0.03583911789239061","91","0.04081462323665619","8","0.205136384","8.912896","45755136","0.958944047839754"
"olive-sweep-4","50","-","","2","128","8","0.0001","0.3","10000","256","0.011898942427308877","71","0.015274552628397942","8","0.20454656","1.2582912","45755136","0.9560351579067656"
"elated-sweep-2","50","-","","2","128","8","0.0001","0.1","10000","256","0.0015041028131742645","71","0.0017157119000330567","8","0.20454656","1.256194048","45755136","0.933270744625646"
"dainty-sweep-1","51","-","","2","128","8","0.001","0.1","10000","128","0.0011477418232096147","71","0.003288211300969124","8","0.200966656","1.254096896","45558016","0.9243912382844426"
"fragrant-sweep-7","405","-","","2","256","8","0.00001","0.3","100000","128","0.05452716362941296","391","0.04979956895112991","8","0.201318912","8.912896","45558016","0.8800516567321139"
"robust-sweep-3","22","-","","4","128","3","0.0001","0.3","10000","256","0.2655566219664827","71","0.2515738010406494","3","0.20454656","1.2582912","45755136","0.5216266252426511"
